Timestamp, Total Electric Usage (C), Total Electric Demand (C)
2023-06-30 23:45:00,34.5,138.0
2023-07-01 00:00:00,33.9375,135.75
2023-07-01 00:15:00,34.15625,136.625
2023-07-01 00:30:00,34.03125,136.125
2023-07-01 00:45:00,34.53125,138.125
2023-07-01 01:00:00,33.875,135.5
2023-07-01 01:15:00,33.8125,135.25
2023-07-01 01:30:00,33.9375,135.75
2023-07-01 01:45:00,34.1875,136.75
2023-07-01 02:00:00,34.4375,137.75
2023-07-01 02:15:00,33.9375,135.75
2023-07-01 02:30:00,34.25,137.0
2023-07-01 02:45:00,33.96875,135.875
2023-07-01 03:00:00,34.78125,139.125
2023-07-01 03:15:00,34.0625,136.25
2023-07-01 03:30:00,34.03125,136.125
2023-07-01 03:45:00,34.15625,136.625
2023-07-01 04:00:00,34.375,137.5
2023-07-01 04:15:00,34.59375,138.375
2023-07-01 04:30:00,34.1875,136.75
2023-07-01 04:45:00,34.21875,136.875
2023-07-01 05:00:00,34.0625,136.25
2023-07-01 05:15:00,34.5,138.0
2023-07-01 05:30:00,34.46875,137.875
2023-07-01 05:45:00,34.28125,137.125
2023-07-01 06:00:00,34.3125,137.25
2023-07-01 06:15:00,34.40625,137.625
2023-07-01 06:30:00,33.5625,134.25
2023-07-01 06:45:00,33.1875,132.75
2023-07-01 07:00:00,32.65625,130.625
2023-07-01 07:15:00,32.53125,130.125
2023-07-01 07:30:00,33.40625,133.625
2023-07-01 07:45:00,32.53125,130.125
2023-07-01 08:00:00,32.59375,130.375
2023-07-01 08:15:00,32.59375,130.375
2023-07-01 08:30:00,33.25,133.0
2023-07-01 08:45:00,32.6875,130.75
2023-07-01 09:00:00,32.34375,129.375
2023-07-01 09:15:00,32.40625,129.625
2023-07-01 09:30:00,33.34375,133.375
2023-07-01 09:45:00,32.8125,131.25
2023-07-01 10:00:00,32.53125,130.125
2023-07-01 10:15:00,33.15625,132.625
2023-07-01 10:30:00,33.4375,133.75
2023-07-01 10:45:00,33.21875,132.875
2023-07-01 11:00:00,33.0,132.0
2023-07-01 11:15:00,33.09375,132.375
2023-07-01 11:30:00,33.34375,133.375
2023-07-01 11:45:00,33.9375,135.75
2023-07-01 12:00:00,32.78125,131.125
2023-07-01 12:15:00,32.71875,130.875
2023-07-01 12:30:00,33.15625,132.625
2023-07-01 12:45:00,32.875,131.5
2023-07-01 13:00:00,33.0625,132.25
2023-07-01 13:15:00,33.15625,132.625
2023-07-01 13:30:00,32.84375,131.375
2023-07-01 13:45:00,33.40625,133.625
2023-07-01 14:00:00,33.0,132.0
